query_accession	query_version
1	PF00005	24
2	PF00017	21
3	PF00018	25
4	PF00067	19
5	PF00106	22
6	PF00107	23
7	PF00108	20
8	PF00109	23
9	PF00117	25
10	PF00118	21
11	PF00144	21
12	PF00156	24
13	PF00168	27
14	PF00171	19
15	PF00185	21
16	PF00195	16
17	PF00201	15
18	PF00202	18
19	PF00221	16
20	PF00232	15
21	PF00248	18
22	PF00264	17
23	PF00278	19
24	PF00282	16
25	PF00288	23
26	PF00289	19
27	PF00290	17
28	PF00291	22
29	PF00293	25
30	PF00303	16
31	PF00305	16
32	PF00328	19
33	PF00348	14
34	PF00368	15
35	PF00378	17
36	PF00387	16
37	PF00388	16
38	PF00407	16
39	PF00425	15
40	PF00432	18
41	PF00441	21
42	PF00450	19
43	PF00454	24
44	PF00459	22
45	PF00465	16
46	PF00478	22
47	PF00483	20
48	PF00487	21
49	PF00491	18
50	PF00494	16
51	PF00498	23
52	PF00501	25
53	PF00534	17
54	PF00535	23
55	PF00536	27
56	PF00550	22
57	PF00561	17
58	PF00583	22
59	PF00587	22
60	PF00596	18
61	PF00613	17
62	PF00617	16
63	PF00620	24
64	PF00668	17
65	PF00682	16
66	PF00685	24
67	PF00696	25
68	PF00698	18
69	PF00709	18
70	PF00724	17
71	PF00725	19
72	PF00732	16
73	PF00733	18
74	PF00743	16
75	PF00753	24
76	PF00765	14
77	PF00766	16
78	PF00782	17
79	PF00788	20
80	PF00797	14
81	PF00800	15
82	PF00857	17
83	PF00891	15
84	PF00908	14
85	PF00941	18
86	PF00975	17
87	PF00982	18
88	PF01008	14
89	PF01012	18
90	PF01022	17
91	PF01040	15
92	PF01041	14
93	PF01048	17
94	PF01063	16
95	PF01066	18
96	PF01073	16
97	PF01118	21
98	PF01128	16
99	PF01148	17
100	PF01154	14
101	PF01222	14
102	PF01227	19
103	PF01242	16
104	PF01243	17
105	PF01255	16
106	PF01315	19
107	PF01363	18
108	PF01381	19
109	PF01397	18
110	PF01408	19
111	PF01467	23
112	PF01474	13
113	PF01477	20
114	PF01494	16
115	PF01501	17
116	PF01504	15
117	PF01575	16
118	PF01593	21
119	PF01596	14
120	PF01636	20
121	PF01643	14
122	PF01658	14
123	PF01678	16
124	PF01729	16
125	PF01756	16
126	PF01761	17
127	PF01799	17
128	PF01817	18
129	PF01887	13
130	PF01959	13
131	PF02153	14
132	PF02211	12
133	PF02274	14
134	PF02353	17
135	PF02383	15
136	PF02401	15
137	PF02431	12
138	PF02441	16
139	PF02453	14
140	PF02458	12
141	PF02522	11
142	PF02542	13
143	PF02543	12
144	PF02567	13
145	PF02585	14
146	PF02595	12
147	PF02615	11
148	PF02655	11
149	PF02664	12
150	PF02668	13
151	PF02670	13
152	PF02729	18
153	PF02737	15
154	PF02738	15
155	PF02749	13
156	PF02770	16
157	PF02771	13
158	PF02784	13
159	PF02785	16
160	PF02786	14
161	PF02797	12
162	PF02801	19
163	PF02803	15
164	PF02894	14
165	PF02900	15
166	PF02979	13
167	PF03033	17
168	PF03055	12
169	PF03061	19
170	PF03079	11
171	PF03088	13
172	PF03171	17
173	PF03241	10
174	PF03284	10
175	PF03301	10
176	PF03364	17
177	PF03372	20
178	PF03417	13
179	PF03447	13
180	PF03450	14
181	PF03492	12
182	PF03559	11
183	PF03583	11
184	PF03621	10
185	PF03662	11
186	PF03770	13
187	PF03781	13
188	PF03936	13
189	PF03992	13
190	PF04055	18
191	PF04072	11
192	PF04107	10
193	PF04116	10
194	PF04199	10
195	PF04275	11
196	PF04321	14
197	PF04339	9
198	PF04551	11
199	PF04655	11
200	PF04673	9
201	PF04715	10
202	PF04820	11
203	PF04863	10
204	PF04864	10
205	PF04909	11
206	PF05014	12
207	PF05116	10
208	PF05139	11
209	PF05199	10
210	PF05241	9
211	PF05368	10
212	PF05691	9
213	PF05711	8
214	PF05721	10
215	PF05770	8
216	PF05834	9
217	PF05995	9
218	PF06057	8
219	PF06090	9
220	PF06094	9
221	PF06351	8
222	PF06508	10
223	PF06602	11
224	PF07137	8
225	PF07143	8
226	PF07298	8
227	PF07366	9
228	PF07731	11
229	PF07859	10
230	PF07883	8
231	PF07993	9
232	PF07994	9
233	PF08031	9
234	PF08100	8
235	PF08241	9
236	PF08242	9
237	PF08392	9
238	PF08415	7
239	PF08421	8
240	PF08436	9
241	PF08484	8
242	PF08491	7
243	PF08498	7
244	PF08540	7
245	PF08541	7
246	PF08543	9
247	PF08544	10
248	PF08545	7
249	PF08659	7
250	PF08703	7
251	PF08892	8
252	PF08990	8
253	PF09277	8
254	PF09279	8
255	PF09788	6
256	PF10017	6
257	PF10397	6
258	PF10409	6
259	PF10590	6
260	PF10604	6
261	PF11468	5
262	PF11794	5
263	PF11991	5
264	PF12680	4
265	PF12681	4
266	PF12697	4
267	PF12804	4
268	PF12867	4
269	PF13186	3
270	PF13193	3
271	PF13243	3
272	PF13249	3
273	PF13277	3
274	PF13288	3
275	PF13292	3
276	PF13323	3
277	PF13380	3
278	PF13419	3
279	PF13450	3
280	PF13508	4
281	PF13537	3
282	PF13579	3
283	PF13580	3
284	PF13847	3
285	PF14226	3
286	PF14299	3
287	PF14399	3
288	PF14749	3
289	PF14765	3
