GeneID,1H,4H,6H,24H
AC148152.3_FG008,0,0,-0.781981888,0
AC148167.6_FG001,0,-0.588429935,-0.851868743,-0.607158351
AC149475.2_FG003,0,0,0.600056932,0.616810448
AC149810.2_FG008,-0.989367886,0,0,-0.755292214
AC149828.2_FG002,0,0,0.890341724,0.737310117
AC149829.2_FG006,1.613675242,1.124031383,1.112741117,1.321232768
AC155376.2_FG004,3.16468133,6.237546016,6.320328418,5.853819742
AC155376.2_FG005,0,2.733003495,2.30109178,2.505998074
AC155434.2_FG001,0,2.988887142,3.625870537,2.966366634
AC155434.2_FG005,-1.234260273,0,0,0
AC166636.1_FG007,1.711340418,-1.395665659,-1.465371044,-2.649830797
AC166636.1_FG008,1.099123015,3.271821541,3.636397571,3.025167299
AC177897.2_FG002,0,0,2.593720337,3.759817181
AC177908.3_FG002,0,0,1.036911416,1.148851533
AC177922.2_FG002,-1.973024355,-2.302957099,-2.328975098,-2.05712269
AC177924.2_FG003,0,-1.158680181,-1.156930672,-1.961798709
AC177946.2_FG004,4.576633536,4.306734325,3.776648325,3.917840947
AC182838.3_FG006,0,0,-1.307762054,-1.594038376
AC183319.3_FG001,0,-1.348221617,-1.681807792,-2.315059455
AC185300.4_FG002,1.450282527,1.254410065,1.324354648,0.832924241
AC185588.2_FG002,-1.145024987,-1.988504962,-1.377007165,-4.102474326
AC185656.3_FG002,0,0,0,0
AC186231.4_FG002,0,0,0,0
AC186603.6_FG003,-1.63790322,-1.469797415,-2.291909685,-1.075386526
AC187157.4_FG005,0,0,-0.960718141,-1.094296189
AC187263.4_FG001,-0.775179261,-1.1939789,-1.186458959,-0.663611389
AC187782.4_FG009,0,0,0,0
AC188296.3_FG004,-1.09606757,-2.76087247,-1.94532766,-1.373866991
AC189879.3_FG003,1.413678324,0.798478768,0,0
AC190609.3_FG002,0,0.626476283,0.79745019,0
AC190623.3_FG001,0,-0.93845074,-1.381602737,-1.787935465
AC190788.2_FG005,0,-1.658661426,-1.380396545,0
AC190885.4_FG006,2.036130493,0,0,0
AC191009.3_FG004,0,1.730269244,1.837695309,1.835013779
AC191421.3_FG001,0,-1.871167156,-1.69165826,-2.63962525
AC191551.3_FG003,0,2.422014657,2.659556407,3.881265011
AC191575.2_FG001,0,0,1.933303973,0
AC192244.3_FG007,0,0,0,0.792093675
AC193353.3_FG002,-2.19193488,-2.494102787,-2.538759178,-2.138164171
AC193379.3_FG001,0,0.932860895,0.971401434,1.796773485
AC193402.3_FG004,-1.179523604,-1.696233445,-1.227751613,-1.448815547
AC193632.2_FG002,2.290864492,2.220381966,2.288354569,1.913104263
AC194022.3_FG013,-0.693959898,-1.801984647,-1.765810085,-2.095687234
AC194362.3_FG003,0,0,0,0
AC194485.3_FG002,-1.199166687,-2.970958706,-1.513282052,0
AC194878.3_FG001,0,-1.103210159,-1.174106426,-0.925962073
AC194914.3_FG002,0.900034453,0.994668142,0,0.910607639
AC194937.3_FG004,-1.086018768,-2.670286093,-2.437144818,-2.352919878
AC194965.4_FG001,0,0,0,-0.790581991
AC194970.5_FG001,0,-1.033970008,-1.508279901,-1.753910111
AC194970.5_FG002,2.410513163,1.736842242,1.608248042,0
AC194970.5_FG005,0.832492563,0,0.586303177,0
AC195135.3_FG002,0,0,0,0
AC195154.3_FG004,-0.619210221,0,-0.848153444,0
AC195172.3_FG001,-0.663331571,-0.667826243,-1.002799118,0
AC195331.3_FG008,0,0,1.384176111,0
AC195351.3_FG003,-1.570724224,-1.636200405,-1.114543105,-1.19480884
AC195954.3_FG001,-2.156885584,-3.13827527,-3.193666333,-3.082436199
AC196043.3_FG005,-1.242334926,-1.995039693,-1.217588147,-0.99103658
AC196059.3_FG003,0,-0.655752242,-0.949128663,-0.720752167
AC196110.4_FG004,3.546911963,7.09858127,6.852267556,7.233214852
AC196158.3_FG002,-1.764481752,-3.377566651,-2.4170705,-2.867732762
AC196475.3_FG004,1.685983549,1.613275641,1.308629935,1.237335652
AC196475.3_FG005,1.039418959,0,0.626227146,0.890769209
AC196726.2_FG001,0,0,0,0
AC197047.3_FG001,-1.82659206,-1.146864636,-1.938048663,-1.895120731
AC197246.3_FG001,2.234198127,1.144089494,1.095587289,1.413818038
AC197246.3_FG003,0,0,0.722784604,0
AC197267.3_FG001,0,0,0,0
AC197387.3_FG004,-1.15449453,-1.682210295,-1.828693325,-1.550592789
AC197705.4_FG003,1.480770117,2.174483589,1.466793574,1.718039314
AC197705.4_FG011,0,-0.94986183,-1.187974256,-0.84175982
AC197758.3_FG004,0,0,0,3.246625568
AC197764.4_FG003,4.359538775,5.366118742,5.426599551,4.365825275
