GeneID,ZmPep3,antiZm3
GRMZM2G125196,7.639497033,-4.287995502
GRMZM2G127418,7.506326949,-4.242428392
GRMZM2G124799,6.766464862,-4.184003236
GRMZM2G179092,6.415508368,-3.506922517
GRMZM2G035755,6.030750943,-3.463112493
GRMZM2G036288,5.7030183,-3.412650036
GRMZM5G851266,5.438481407,-3.402385011
GRMZM2G125669,5.421955895,-3.398082767
GRMZM2G129860,5.369771339,-3.370557048
GRMZM2G448883,5.322138634,-3.360495117
GRMZM2G363554,5.246060382,-3.309621913
GRMZM2G170017,5.224436565,-3.308375626
GRMZM2G127328,5.154204957,-3.170706199
GRMZM2G180328,5.088189867,-3.137330857
GRMZM2G453805,5.028648527,-3.1237495
GRMZM2G470075,5.025700201,-3.097019355
AC196158.3_FG002,4.987095137,-3.075010898
GRMZM2G143669,4.984200569,-3.058785776
GRMZM2G119471,4.909317279,-3.009240155
GRMZM2G105330,4.881991614,-2.994795953
GRMZM2G039639,4.873923788,-2.966800709
GRMZM2G046615,4.839998506,-2.945761909
GRMZM2G122280,4.662361181,-2.945486666
GRMZM2G161905,4.59845135,-2.898339635
GRMZM2G097641,4.558452422,-2.8842227
GRMZM2G154523,4.495082343,-2.883284784
GRMZM2G447795,4.482982537,-2.876131463
GRMZM2G117971,4.471891072,-2.867409933
GRMZM2G023847,4.357319703,-2.855574307
GRMZM2G031613,4.221113251,-2.799169796
GRMZM2G170602,4.192398616,-2.797327685
GRMZM2G121309,4.169099494,-2.794954307
GRMZM2G080839,4.156880294,-2.788407687
GRMZM2G106560,4.133435078,-2.778728565
GRMZM2G163717,4.126775764,-2.769895007
GRMZM2G306679,4.102538786,-2.735147104
GRMZM2G304712,4.067807243,-2.733108126
GRMZM2G339091,4.052512076,-2.71370589
GRMZM2G057672,4.018576341,-2.712956813
GRMZM2G141535,4.017230032,-2.681256147
GRMZM2G078648,4.004094964,-2.674545506
GRMZM2G066428,3.945540098,-2.657902332
GRMZM2G145518,3.923688128,-2.652010685
GRMZM2G129357,3.894808857,-2.647579622
GRMZM2G109130,3.894505774,-2.641429308
GRMZM2G311036,3.863275661,-2.640321242
GRMZM2G170016,3.858779365,-2.63098179
GRMZM2G122028,3.856143944,-2.623913374
GRMZM2G025190,3.853779241,-2.604122351
GRMZM2G028656,3.848830599,-2.602647975
GRMZM5G873446,3.831946863,-2.586265861
GRMZM2G015933,3.80741172,-2.58602194
GRMZM2G379563,3.804738633,-2.569687676
GRMZM2G470882,3.753439065,-2.566199851
GRMZM2G042639,3.747464859,-2.555453841
GRMZM2G336448,3.739088828,-2.553728413
GRMZM2G036351,3.696493421,-2.552954458
GRMZM2G322819,3.692962629,-2.547288121
GRMZM2G041685,3.679759241,-2.54592575
GRMZM2G052175,3.672697338,-2.543834194
GRMZM2G178875,3.640207429,-2.543195293
GRMZM2G138676,3.59224374,-2.541737106
GRMZM5G874955,3.574537186,-2.5380262
GRMZM2G173809,3.499172934,-2.526340364
GRMZM2G147756,3.452022251,-2.513926724
GRMZM2G051683,3.406123145,-2.512754548
GRMZM2G354909,3.402633309,-2.500088998
GRMZM2G152417,3.396510262,-2.499455699
GRMZM2G138468,3.377236833,-2.499181798
GRMZM2G125032,3.318802993,-2.492644344
GRMZM5G868816,3.309632143,-2.475534157
GRMZM2G154881,3.285181942,-2.471448672
GRMZM2G116520,3.280403814,-2.467467734
GRMZM2G164134,3.261406052,-2.46703994
GRMZM2G127350,3.261127954,-2.459608505
AC148152.3_FG005,3.244059878,-2.453418798
GRMZM2G358153,3.219799845,-2.450994853
GRMZM2G336824,3.210376663,-2.440049983
GRMZM2G005633,3.198970299,-2.436974059
GRMZM2G479906,3.186549413,-2.433735022
GRMZM2G020631,3.174716115,-2.433605093
