genes,SLB
GRMZM2G051943,13.812
GRMZM2G119150,12.057
GRMZM2G078667,12.006
GRMZM2G320786,12.000
GRMZM2G099092,11.998
GRMZM2G093092,11.707
GRMZM2G465226,11.699
GRMZM2G021277,11.598
GRMZM2G170734,11.465
GRMZM2G044481,11.396
GRMZM2G009045,11.375
GRMZM2G130351,11.289
GRMZM2G415529,10.987
GRMZM2G065585,10.935
GRMZM5G892675,10.796
GRMZM2G127087,10.751
GRMZM2G308422,10.750
GRMZM2G173192,10.737
GRMZM2G075283,10.600
GRMZM2G089506,10.548
GRMZM2G021388,10.459
GRMZM2G015933,10.457
GRMZM2G156877,10.415
GRMZM2G423331,10.355
GRMZM2G148014,10.349
GRMZM2G122654,10.254
AC205274.3_FG001,10.217
GRMZM2G169033,10.103
GRMZM2G156632,10.098
GRMZM2G465999,10.024
GRMZM2G114918,9.983
GRMZM2G125196,9.963
GRMZM2G311036,9.823
AC205413.4_FG001,9.744
GRMZM2G116520,9.698
GRMZM2G176798,9.684
GRMZM2G075315,9.682
GRMZM2G094375,9.554
GRMZM2G127418,9.459
GRMZM2G448710,9.431
GRMZM2G108207,9.398
GRMZM2G073929,9.362
GRMZM2G112488,9.354
GRMZM2G117971,9.276
GRMZM2G149714,9.271
GRMZM2G052571,9.265
GRMZM2G336824,9.258
AC197764.4_FG003,9.251
GRMZM2G076343,9.229
GRMZM2G154828,9.224
GRMZM2G004106,9.200
GRMZM2G016922,9.192
GRMZM2G028306,9.192
GRMZM2G176472,9.181
GRMZM2G039009,9.171
GRMZM2G074248,9.169
GRMZM2G102550,9.154
GRMZM2G106177,9.142
GRMZM2G005633,9.127
GRMZM2G175927,9.060
GRMZM2G092169,9.034
GRMZM2G074743,9.012
GRMZM2G436448,8.990
GRMZM2G111711,8.962
GRMZM2G358153,8.955
GRMZM2G161521,8.947
GRMZM2G093606,8.942
GRMZM2G084779,8.917
GRMZM2G093622,8.869
GRMZM2G093125,8.866
GRMZM2G145440,8.866
GRMZM2G123119,8.852
GRMZM2G108847,8.845
GRMZM2G429617,8.814
GRMZM2G106026,8.775
GRMZM2G113860,8.653
GRMZM2G092146,8.652
GRMZM2G160840,8.640
GRMZM2G049930,8.631
GRMZM2G170017,8.574
GRMZM2G481052,8.558
