genes	v3_locus
GRMZM2G044481	ZmAN2
AC214360.3_FG001	ZmKSL2
GRMZM2G067591	ZmCYP71Z18
GRMZM2G073929	ZmKR2
GRMZM2G161472	ZmKO2
AC148152.3_FG005	Bx13
AC148152.3_FG008	sfr2
AC148167.6_FG001	pco110259
AC149475.2_FG002	IDP850
AC149475.2_FG005	jmj20
AC149475.2_FG007	hagtf38
AC149818.2_FG001	ras18B1
AC149818.2_FG009	rtcl1
AC149829.2_FG004	bhlh97
AC152495.1_FG002	rp1
AC155376.2_FG005	glu4
AC155377.1_FG001	myo1
AC155434.2_FG005	glk59
AC155434.2_FG006	dof47
AC155622.2_FG001	pco096800
AC155622.2_FG004	pco096800
AC165171.2_FG002	wrky120
AC165178.2_FG004	myb35
AC166636.1_FG008	IDP871
AC177897.2_FG002	si683003c04
AC177924.2_FG001	bhlh4
AC184831.3_FG005	gata22
AC184831.3_FG008	gata36
AC185226.4_FG001	tola1
AC185464.3_FG003	umc1524
AC185478.4_FG005	mmp3
AC186524.3_FG005	hmg101
AC186577.3_FG006	pmei49
AC186606.4_FG003	bzip126
AC187098.4_FG011	pco116187
AC187157.4_FG001	ereb186
AC187157.4_FG005	hb52
AC187262.4_FG007	umc1811
AC187891.3_FG006	ofp39
AC189750.4_FG004	aprl1
AC189771.3_FG001	cl2102_3
AC189879.3_FG003	ago101
AC190609.3_FG001	bzip81
AC190623.3_FG001	pco070877
AC190734.2_FG003	tcptf6
AC190788.2_FG005	msh4
AC191109.3_FG001	cle14
AC191534.3_FG003	vim104
AC193630.3_FG003	wrky39
AC193767.3_FG003	abi10
AC193786.3_FG005	bhlh54
AC194022.3_FG013	umc1970
AC194056.3_FG008	vq21
AC194254.3_FG004	pmei50
AC194341.4_FG003	sun5
AC194362.3_FG003	wrky5
AC194965.4_FG004	gata12
AC194970.5_FG001	ggps1
AC194970.5_FG002	bzr7
AC195147.3_FG001	mab1
AC195340.3_FG001	tua3
AC195340.3_FG004	iaa20
AC195874.2_FG002	ap17
AC196110.4_FG004	psei9
AC196465.3_FG006	ddt5
AC196470.3_FG007	bnlg2235
AC196475.3_FG004	bm3
AC196475.3_FG005	nactf77
AC196489.3_FG002	rpl12
AC197146.3_FG002	myb69
AC197246.3_FG001	ras11G1
AC197246.3_FG003	cl1797_4
AC197672.3_FG002	acc1
AC197699.3_FG001	zmm3
AC197699.3_FG002	ccd10
AC197705.4_FG001	pdc1
AC197705.4_FG007	TIDP3511
AC197717.3_FG002	ncp1
AC197764.4_FG003	zim30
AC198169.4_FG004	cl9072_1(438)
AC198366.3_FG004	gras29
AC198403.3_FG001	ereb106
AC198414.2_FG001	cle2
AC198418.3_FG005	rh4
AC198481.3_FG004	trrap1
AC198518.3_FG005	bhlh58
AC198725.4_FG004	ofp19
AC198725.4_FG009	wrky64
AC198937.4_FG005	nactf37
AC198979.4_FG009	ereb95
AC199043.2_FG002	cle8
AC199526.5_FG003	caf2
AC199541.4_FG001	pco128943a
AC199782.5_FG001	pco094838
AC199782.5_FG003	tcptf19
AC199820.4_FG006	mybr29
AC200038.4_FG011	ereb120
AC200057.4_FG007	bzip47
AC200124.3_FG005	gras66
AC201815.4_FG001	dek55
AC201832.3_FG006	ca5p18
AC202185.4_FG004	umc1461
AC202435.3_FG003	pap4
AC202439.3_FG006	Zm00001d037242
AC202864.3_FG002	gata25
AC203294.3_FG012	vq45
AC203535.4_FG001	myb2
AC203535.4_FG002	nactf90
AC203865.3_FG001	cpp13
AC203957.3_FG004	bzip40
AC203966.5_FG005	ga20ox1
AC204007.3_FG008	cl16119_1c
AC204212.4_FG001	mybr78
AC204292.4_FG006	AY110435
AC204352.3_FG012	Zm00001d038617
AC204359.3_FG005	IDP387
AC204502.4_FG006	ofp36
AC204530.4_FG002	pco097891
AC204621.4_FG006	gras59
AC204711.3_FG002	xyl6
AC205122.4_FG003	IDP1688
AC205250.3_FG004	cchh6
AC205274.3_FG001	prp1
AC205419.3_FG001	pco065609(689)
AC205471.4_FG003	hsftf16
AC205484.3_FG005	nactf58
AC205502.4_FG004	AC205502.4_FG004
AC205562.3_FG002	wrky97
AC205574.3_FG006	tcptf33
AC205608.4_FG004	pco106840
AC205703.4_FG002	cl6346_1(433)
AC205703.4_FG006	gl8
AC206165.3_FG007	hsftf15
AC206217.2_FG006	znf3
AC206223.3_FG006	AW215946
AC206319.2_FG004	cle29
