query_accession	evalue
GRMZM2G139680	PF10417
GRMZM5G864335	PF10417
GRMZM2G129761	PF10417
GRMZM2G114322	PF10417
GRMZM2G004955	PF10417
GRMZM2G325530	PF10417
GRMZM2G023178	PF10417
GRMZM2G179872	PF10417
GRMZM2G365472	PF10417
GRMZM2G098804	PF10417
AC203004.3_FGP004	PF10417
GRMZM2G026956	PF10417
GRMZM2G130356	PF12574
GRMZM2G556360	PF09847
GRMZM2G102499	PF00244
AC217050.4_FGP006	PF00244
GRMZM2G091155	PF00244
GRMZM2G408768	PF00244
GRMZM2G153823	PF00244
GRMZM2G106424	PF00244
GRMZM5G866082	PF00244
GRMZM2G078641	PF00244
GRMZM2G107756	PF00244
GRMZM2G140545	PF00244
GRMZM2G006207	PF00244
GRMZM2G145213	PF00244
GRMZM2G366778	PF00244
GRMZM2G097856	PF00244
GRMZM2G093944	PF00244
GRMZM2G329740	PF00244
GRMZM2G378515	PF00244
GRMZM2G179452	PF00244
GRMZM2G305211	PF00244
GRMZM2G107395	PF00244
GRMZM2G386590	PF00244
GRMZM2G109380	PF00244
GRMZM2G153990	PF00244
GRMZM2G180385	PF00244
GRMZM2G358667	PF00244
AC197575.3_FGP008	PF00244
GRMZM2G095397	PF00244
GRMZM2G094398	PF00244
GRMZM2G487136	PF00244
GRMZM2G433551	PF00244
GRMZM2G058364	PF00244
GRMZM2G147377	PF00244
GRMZM2G060947	PF00244
GRMZM2G469006	PF00244
GRMZM2G054458	PF00244
GRMZM2G074957	PF00244
GRMZM2G322736	PF00244
GRMZM2G073511	PF00244
AC187082.3_FGP002	PF00244
GRMZM2G104179	PF00244
GRMZM2G175188	PF00244
GRMZM2G055629	PF16998
GRMZM2G010641	PF16998
GRMZM2G073814	PF00389
GRMZM2G098423	PF00389
GRMZM2G009323	PF00389
GRMZM2G081886	PF00389
GRMZM2G159587	PF00389
GRMZM2G040090	PF00389
GRMZM2G072388	PF00389
GRMZM2G049811	PF00389
GRMZM2G147714	PF00389
GRMZM2G124919	PF00389
GRMZM2G136072	PF00389
GRMZM2G362021	PF00389
GRMZM2G170602	PF00389
GRMZM2G074282	PF00389
GRMZM2G174773	PF00389
GRMZM5G863097	PF00389
GRMZM2G176977	PF00389
GRMZM2G166899	PF00389
GRMZM5G818631	PF00389
GRMZM2G418005	PF00389
GRMZM2G423972	PF00389
GRMZM2G101600	PF00389
GRMZM2G365810	PF00389
GRMZM2G081886	PF02826
GRMZM2G009323	PF02826
GRMZM2G073814	PF02826
GRMZM2G098423	PF02826
GRMZM2G049811	PF02826
GRMZM2G147714	PF02826
GRMZM2G124919	PF02826
GRMZM2G072388	PF02826
GRMZM2G170602	PF02826
GRMZM2G423972	PF02826
GRMZM2G174773	PF02826
GRMZM5G863097	PF02826
GRMZM2G418005	PF02826
