genes	term
GRMZM5G878530	GO:0004674
GRMZM5G878530	GO:0006468
GRMZM5G878530	GO:0016772
GRMZM5G878530	GO:0005524
GRMZM2G155962	GO:0003824
GRMZM2G155962	GO:0008152
GRMZM2G155962	GO:0009507
GRMZM2G063754	GO:0006979
GRMZM2G063754	GO:0009555
GRMZM2G063754	GO:0005886
GRMZM5G834778	GO:0016272
GRMZM5G834778	GO:0051082
GRMZM5G834778	GO:0005789
GRMZM5G834778	GO:0008270
GRMZM5G834778	GO:0003676
GRMZM5G834778	GO:0016758
GRMZM5G834778	GO:0006457
GRMZM2G063756	GO:0016020
GRMZM2G063756	GO:0004497
GRMZM2G063756	GO:0046872
GRMZM2G063756	GO:0020037
GRMZM2G063756	GO:0016021
GRMZM2G063756	GO:0016705
GRMZM2G063756	GO:0009055
GRMZM2G063756	GO:0055114
GRMZM5G828253	GO:0055114
GRMZM5G828253	GO:0016491
GRMZM2G084477	GO:0031965
GRMZM2G084477	GO:0055085
GRMZM2G084473	GO:0016310
GRMZM2G084473	GO:0016301
GRMZM2G140430	GO:0008270
GRMZM2G140430	GO:0005515
GRMZM2G140432	GO:0006508
GRMZM2G140432	GO:0008236
GRMZM2G470035	GO:0000276
GRMZM2G470035	GO:0016020
GRMZM2G470035	GO:0005739
GRMZM2G470035	GO:0015986
GRMZM2G470035	GO:0008270
GRMZM2G470035	GO:0015078
GRMZM2G005341	GO:0005634
GRMZM2G005341	GO:0006260
GRMZM2G005341	GO:0003677
GRMZM2G305400	GO:0005634
GRMZM2G357923	GO:0008026
GRMZM2G357923	GO:0000166
GRMZM2G357923	GO:0003676
GRMZM2G357923	GO:0004386
GRMZM2G357923	GO:0005524
AC195343.3_FG002	GO:0005737
AC195343.3_FG002	GO:0006457
GRMZM2G359070	GO:0004018
GRMZM2G359070	GO:0009570
GRMZM2G359070	GO:0016829
GRMZM2G359070	GO:0009152
GRMZM2G359070	GO:0006188
GRMZM2G359070	GO:0009507
GRMZM2G442008	GO:0020037
GRMZM2G442008	GO:0004601
GRMZM2G442008	GO:0006979
GRMZM2G442008	GO:0046872
GRMZM2G442008	GO:0009505
GRMZM2G442008	GO:0055114
GRMZM2G442008	GO:0016491
GRMZM2G008972	GO:0005737
GRMZM2G008972	GO:0005634
GRMZM2G404922	GO:0046983
GRMZM2G057466	GO:0005515
GRMZM2G052499	GO:0043565
GRMZM2G052499	GO:0016602
GRMZM2G052499	GO:0003700
GRMZM2G052499	GO:0005634
GRMZM2G052499	GO:0005622
GRMZM2G052499	GO:0006355
GRMZM2G052499	GO:0046982
GRMZM2G404929	GO:0006508
GRMZM2G404929	GO:0004185
GRMZM2G018020	GO:0005730
GRMZM2G018020	GO:0005634
GRMZM2G018020	GO:0000398
GRMZM2G018020	GO:0000166
GRMZM2G018020	GO:0017069
GRMZM2G018020	GO:0003676
GRMZM2G018020	GO:0009651
