genes	term
AC148152.3_FG005	GO:0055114,GO:0016491
AC148152.3_FG008	GO:0005975,GO:0004553
AC149475.2_FG003	GO:0019773,GO:0006511,GO:0004175,GO:0051603,GO:0005839,GO:0004298
AC149475.2_FG004	GO:0006418,GO:0005524,GO:0004812,GO:0000166
AC149475.2_FG007	GO:0008080
AC149810.2_FG003	GO:0036459,GO:0016579
AC149810.2_FG008	GO:0006468,GO:0004672
AC149818.2_FG001	GO:0005525
AC149818.2_FG004	GO:0016538,GO:0007049
AC149828.2_FG002	GO:0019773,GO:0006511,GO:0004175,GO:0051603,GO:0005839,GO:0004298
AC149829.2_FG003	GO:0006810,GO:0005643
AC149829.2_FG004	GO:0046983
AC149829.2_FG006	GO:0005515
AC152495.1_FG002	GO:0043531
AC152495.1_FG003	GO:0043531
AC152495.1_FG006	GO:0005524
AC152495.1_FG010	GO:0043531
AC152495.1_FG012	GO:0008080
AC152495.1_FG015	GO:0043531
AC152495.1_FG017	GO:0043531
AC155376.2_FG005	GO:0005975,GO:0004553
AC155377.1_FG001	GO:0016459,GO:0005524,GO:0003774,GO:0005515
AC155377.1_FG002	GO:0006508,GO:0004190
AC155434.2_FG003	GO:0006508,GO:0004190
AC155434.2_FG006	GO:0006355,GO:0003677
AC155496.2_FG009	GO:0031625,GO:0006511
AC155610.2_FG007	GO:0016747
AC155622.2_FG001	GO:0030126,GO:0016192,GO:0006886,GO:0005515,GO:0005198
AC155622.2_FG004	GO:0005515
AC155624.2_FG006	GO:0006470,GO:0004722
AC159612.1_FG007	GO:0005975,GO:0004553
AC165171.2_FG002	GO:0043565,GO:0006355,GO:0003700
AC166636.1_FG007	GO:0005515
AC166636.1_FG008	GO:0005525
AC166636.1_FG009	GO:0003723
AC177889.2_FG006	GO:0016021,GO:0005783
AC177893.3_FG003	GO:0016788
AC177893.3_FG005	GO:0071805,GO:0016020,GO:0015079
AC177897.2_FG021	GO:0005524
AC177897.2_FG022	GO:0055114,GO:0016491,GO:0005507
AC177899.2_FG012	GO:0008234,GO:0006508
AC177908.3_FG002	GO:0016757,GO:0047262
AC177924.2_FG001	GO:0046983
AC177933.2_FG005	GO:0016021,GO:0006952
AC177936.6_FG008	GO:0031625,GO:0006511
AC182439.4_FG004	GO:0016021
AC182482.3_FG003	GO:0055085,GO:0016021,GO:0008324,GO:0006812
AC182617.3_FG001	GO:0009089,GO:0008837
AC183315.4_FG006	GO:0005515
AC183590.4_FG001	GO:0042398,GO:0004357
AC183928.4_FG006	GO:0006508,GO:0004190
AC183938.4_FG004	GO:0006351,GO:0003899,GO:0003677
AC183938.4_FG011	GO:0008270
AC184131.5_FG010	GO:0030244,GO:0016760,GO:0016020
AC184164.2_FG006	GO:0008408,GO:0006139,GO:0003676
AC184699.3_FG005	GO:0016705,GO:0016117
AC184794.2_FG003	GO:0016020,GO:0006810,GO:0005215
AC184831.3_FG003	GO:0016758,GO:0008152
AC184831.3_FG005	GO:0043565,GO:0008270,GO:0006355,GO:0003700
AC184831.3_FG008	GO:0043565,GO:0008270,GO:0006355,GO:0003700
