genes	Pfam
AC148152.3_FG001	"PF13962,PF13637"
AC148152.3_FG005	"PF14226,PF03171"
AC148152.3_FG006	PF02797
AC148152.3_FG008	PF00232
AC148167.6_FG001	PF06886
AC149475.2_FG002	PF05514
AC149475.2_FG003	"PF10584,PF00227"
AC149475.2_FG004	PF00133
AC149475.2_FG005	"PF02375,PF02373"
AC149475.2_FG007	PF00583
AC149810.2_FG003	"PF00443,PF04780"
AC149810.2_FG004	PF11947
AC149810.2_FG008	PF07714
AC149818.2_FG001	PF00025
AC149818.2_FG004	PF01111
AC149818.2_FG006	PF00179
AC149818.2_FG007	PF05340
AC149818.2_FG009	PF03195
AC149828.2_FG002	"PF10584,PF00227"
AC149828.2_FG004	PF07911
AC149829.2_FG003	"PF04096,PF12110"
AC149829.2_FG004	PF00010
AC149829.2_FG006	PF01344
AC150739.3_FG001	PF03479
AC152495.1_FG002	PF00931
AC152495.1_FG003	PF00931
AC152495.1_FG005	PF06454
AC152495.1_FG006	PF00176
AC152495.1_FG010	PF00931
AC152495.1_FG011	PF14111
AC152495.1_FG012	"PF00583,PF01535,PF13246"
AC152495.1_FG015	PF00931
AC152495.1_FG017	PF00931
AC155352.2_FG001	PF10312
AC155352.2_FG010	PF00234
AC155376.2_FG004	PF02181
AC155376.2_FG005	PF00232
AC155377.1_FG001	"PF02736,PF00612,PF01843,PF00063"
AC155377.1_FG002	PF00026
AC155390.2_FG002	"PF12854,PF14432,PF01535,PF13041"
AC155434.2_FG001	PF12146
AC155434.2_FG003	PF00026
AC155434.2_FG005	"PF00249,PF14379"
AC155434.2_FG006	PF02701
AC155496.2_FG009	"PF10557,PF00888"
AC155610.2_FG007	PF02458
AC155622.2_FG001	PF06957
AC155622.2_FG004	PF00400
AC155624.2_FG006	PF13672
AC155624.2_FG011	PF11833
AC159612.1_FG007	"PF07983,PF00332"
AC165171.2_FG002	PF03106
AC165178.2_FG002	PF08646
AC165178.2_FG004	PF00249
AC166636.1_FG007	PF00397
AC166636.1_FG008	PF00025
AC166636.1_FG009	PF00806
AC177840.3_FG005	PF02375
AC177893.3_FG003	PF04827
AC177893.3_FG005	PF02705
AC177897.2_FG002	PF13923
AC177897.2_FG020	PF09778
AC177897.2_FG021	PF00118
AC177897.2_FG022	"PF00394,PF07731,PF07732"
AC177897.2_FG029	PF10354
AC177899.2_FG009	"PF13812,PF01535,PF13041"
AC177899.2_FG012	PF02902
AC177908.3_FG002	PF01501
AC177924.2_FG001	PF00010
AC177933.2_FG005	PF03094
AC177936.6_FG008	"PF00888,PF10557"
AC182413.4_FG002	PF03018
AC182439.4_FG004	PF03694
AC182482.3_FG003	"PF16916,PF01545"
AC182617.3_FG001	PF01678
AC183315.4_FG006	PF00514
AC183590.4_FG001	PF04107
AC183656.2_FG005	PF08646
AC183782.3_FG002	PF03108
AC183932.3_FG007	PF13632
AC183938.4_FG011	PF06839
AC183950.2_FG002	PF13912
AC183950.2_FG004	PF03168
AC183950.2_FG005	"PF01535,PF13041"
AC184112.4_FG010	PF04525
AC184130.4_FG005	PF02469
AC184131.5_FG010	PF03552
AC184164.2_FG006	PF01612
AC184699.3_FG005	PF05834
AC184764.3_FG003	PF03087
AC184794.2_FG003	PF00854
AC184831.3_FG005	PF00320
AC184831.3_FG008	PF00320
AC184834.3_FG007	PF07714
AC184835.3_FG003	PF01490
AC184866.3_FG007	PF00046
AC184871.2_FG002	PF00493
AC185108.3_FG011	PF13912
AC185121.3_FG001	PF14569
AC185122.3_FG008	PF00665
AC185122.3_FG009	PF00144
AC185126.3_FG006	PF13639
AC185130.2_FG004	PF01435
AC185213.3_FG003	PF13041
AC185217.3_FG002	PF00226
AC185226.4_FG001	"PF13374,PF12807,PF13236"
AC185226.4_FG006	PF01112
AC185276.2_FG006	PF05786
AC185322.3_FG011	"PF13968,PF04578"
AC185415.3_FG005	"PF00076,PF00641"
AC185422.3_FG005	PF01657
AC185434.4_FG004	PF01486
AC185460.3_FG004	PF13639
AC185468.3_FG003	PF01873
AC185471.3_FG005	PF01221
AC185478.4_FG005	PF11250
AC185500.3_FG005	PF04424
AC185519.3_FG002	PF14569
AC185531.2_FG001	PF13405
