genes	domain
AC148152.3_FG001	"PF13962,PF13637"
AC148152.3_FG005	"PF14226,PF03171"
AC148152.3_FG006	PF02797
AC148152.3_FG008	PF00232
AC148167.6_FG001	PF06886
AC149475.2_FG002	PF05514
AC149475.2_FG003	"PF10584,PF00227"
AC149475.2_FG004	PF00133
AC149475.2_FG005	"PF02375,PF02373"
AC149475.2_FG007	PF00583
AC149810.2_FG003	"PF00443,PF04780"
AC149810.2_FG004	PF11947
AC149810.2_FG008	PF07714
AC149818.2_FG001	PF00025
AC149818.2_FG004	PF01111
AC149818.2_FG005	
AC149818.2_FG006	PF00179
AC149818.2_FG007	PF05340
AC149818.2_FG008	
AC149818.2_FG009	PF03195
AC149828.2_FG002	"PF10584,PF00227"
AC149828.2_FG004	PF07911
AC149828.2_FG005	
AC149829.2_FG002	
AC149829.2_FG003	"PF04096,PF12110"
AC149829.2_FG004	PF00010
AC149829.2_FG006	PF01344
AC150739.3_FG001	PF03479
AC152495.1_FG002	PF00931
AC152495.1_FG003	PF00931
AC152495.1_FG005	PF06454
AC152495.1_FG006	PF00176
AC152495.1_FG010	PF00931
AC152495.1_FG011	PF14111
AC152495.1_FG012	"PF00583,PF01535,PF13246"
AC152495.1_FG013	
AC152495.1_FG015	PF00931
AC152495.1_FG017	PF00931
AC155352.2_FG001	PF10312
AC155352.2_FG009	
AC155352.2_FG010	PF00234
AC155376.2_FG002	
AC155376.2_FG004	PF02181
AC155376.2_FG005	PF00232
AC155377.1_FG001	"PF02736,PF00612,PF01843,PF00063"
AC155377.1_FG002	PF00026
AC155390.2_FG002	"PF12854,PF14432,PF01535,PF13041"
AC155434.2_FG001	PF12146
AC155434.2_FG003	PF00026
AC155434.2_FG004	
AC155434.2_FG005	"PF00249,PF14379"
AC155434.2_FG006	PF02701
AC155434.2_FG008	
AC155496.2_FG009	"PF10557,PF00888"
AC155610.2_FG007	PF02458
AC155610.2_FG009	
AC155622.2_FG001	PF06957
AC155622.2_FG004	PF00400
AC155624.2_FG006	PF13672
AC155624.2_FG008	
AC155624.2_FG011	PF11833
AC155624.2_FG012	
AC159612.1_FG007	"PF07983,PF00332"
AC165171.2_FG002	PF03106
AC165178.2_FG001	
AC165178.2_FG002	PF08646
AC165178.2_FG003	
AC165178.2_FG004	PF00249
AC166636.1_FG007	PF00397
AC166636.1_FG008	PF00025
AC166636.1_FG009	PF00806
AC177815.2_FG001	
AC177815.2_FG003	
AC177819.2_FG005	
AC177820.3_FG007	
AC177820.3_FG009	
AC177821.2_FG002	
AC177821.2_FG003	
AC177821.2_FG005	
AC177824.2_FG003	
AC177831.3_FG004	
AC177833.2_FG001	
AC177837.3_FG002	
AC177837.3_FG007	
AC177837.3_FG012	
AC177838.2_FG002	
AC177838.2_FG009	
AC177838.2_FG012	
AC177838.2_FG013	
AC177838.2_FG015	
AC177838.2_FG017	
AC177838.2_FG018	
AC177840.3_FG003	
AC177840.3_FG005	PF02375
AC177844.2_FG003	
AC177845.2_FG001	
AC177846.2_FG001	
AC177846.2_FG002	
AC177849.3_FG001	
AC177850.2_FG003	
AC177850.2_FG005	
AC177850.2_FG006	
AC177852.2_FG003	
AC177854.5_FG003	
AC177859.4_FG006	
AC177859.4_FG010	
AC177860.4_FG002	
AC177860.4_FG009	
AC177862.3_FG002	
AC177863.3_FG013	
AC177863.3_FG014	
AC177867.2_FG001	
AC177868.3_FG005	
AC177871.2_FG004	
AC177873.3_FG003	
AC177875.2_FG005	
AC177878.4_FG002	
AC177882.3_FG005	
AC177882.3_FG006	
AC177883.2_FG003	
AC177884.3_FG008	
AC177886.2_FG001	
AC177888.2_FG002	
AC177889.2_FG004	
AC177889.2_FG006	
AC177890.3_FG005	
AC177893.3_FG003	PF04827
AC177893.3_FG005	PF02705
AC177893.3_FG006	
AC177897.2_FG002	PF13923
AC177897.2_FG020	PF09778
AC177897.2_FG021	PF00118
AC177897.2_FG022	"PF00394,PF07731,PF07732"
AC177897.2_FG025	
AC177897.2_FG029	PF10354
AC177897.2_FG036	
AC177899.2_FG009	"PF13812,PF01535,PF13041"
AC177899.2_FG012	PF02902
AC177900.4_FG001	
AC177901.3_FG002	
AC177901.3_FG004	
